,close,Search Trends,DayOfWeek
2020-01-07 23:00:00,,94.0,2
2020-01-08 00:00:00,,91.0,2
2020-01-08 01:00:00,,91.0,2
2020-01-08 02:00:00,,82.0,2
2020-01-08 03:00:00,,74.0,2
2020-01-08 04:00:00,,57.0,2
2020-01-08 05:00:00,,33.0,2
2020-01-08 06:00:00,,18.0,2
2020-01-08 07:00:00,,11.0,2
2020-01-08 08:00:00,,8.0,2
2020-01-08 09:00:00,634.37,10.0,2
2020-01-08 10:00:00,632.11,15.0,2
2020-01-08 11:00:00,635.9,27.0,2
2020-01-08 12:00:00,636.275,41.0,2
2020-01-08 13:00:00,636.64,49.0,2
2020-01-08 14:00:00,636.08,57.0,2
2020-01-08 15:00:00,632.79,65.0,2
2020-01-08 16:00:00,,65.0,2
2020-01-08 17:00:00,,70.0,2
2020-01-08 18:00:00,,71.0,2
2020-01-08 19:00:00,,76.0,2
2020-01-08 20:00:00,,76.0,2
2020-01-08 21:00:00,,84.0,2
2020-01-08 22:00:00,,90.0,2
2020-01-08 23:00:00,,95.0,2
2020-01-09 00:00:00,,97.0,2
2020-01-09 01:00:00,,92.0,2
2020-01-09 02:00:00,,88.0,2
2020-01-09 03:00:00,,73.0,2
2020-01-09 04:00:00,,57.0,2
2020-01-09 05:00:00,,36.0,2
2020-01-09 06:00:00,,21.0,2
2020-01-09 07:00:00,,11.0,2
2020-01-09 08:00:00,,9.0,2
2020-01-09 09:00:00,643.81,9.0,2
2020-01-09 10:00:00,639.87,16.0,2
2020-01-09 11:00:00,644.065,25.0,2
2020-01-09 12:00:00,642.87,40.0,2
2020-01-09 13:00:00,646.885,53.0,2
2020-01-09 14:00:00,647.72,61.0,2
2020-01-09 15:00:00,646.43,67.0,2
2020-01-09 16:00:00,,69.0,2
2020-01-09 17:00:00,,69.0,2
2020-01-09 18:00:00,,73.0,2
2020-01-09 19:00:00,,75.0,2
2020-01-09 20:00:00,,77.0,2
2020-01-09 21:00:00,,79.0,2
2020-01-09 22:00:00,,90.0,2
2020-01-09 23:00:00,,98.0,2
2020-01-10 00:00:00,,96.0,2
2020-01-10 01:00:00,,91.0,2
2020-01-10 02:00:00,,89.0,2
